ipsource,entropy ipdest,entropy portdst,ipdest,portdest,Num de cluster
193.71.189.132,-0.0,-0.0,['193.194.76.238'],[23],1
193.95.241.145,-0.0,-0.0,['193.194.76.232'],[80],1
194.14.48.156,-0.0,-0.0,['193.194.76.232'],[5555],1
194.150.40.97,2.584962500721156,-0.0,"['193.194.76.228', '193.194.76.230', '193.194.76.248', '193.194.76.245', '193.194.76.240', '193.194.76.229']","[445, 445, 445, 445, 445, 445]",39
194.28.28.131,-0.0,-0.0,['193.194.76.246'],[445],1
194.44.69.49,-0.0,-0.0,['193.194.76.225'],[23],1
194.58.71.58,-0.0,-0.0,['193.194.76.233'],[445],1
194.93.59.13,4.9818991174862,3.960665171399453,"['193.194.76.224', '193.194.76.229', '193.194.76.239', '193.194.76.234', '193.194.76.233', '193.194.76.238', '193.194.76.252', '193.194.76.225', '193.194.76.253', '193.194.76.253', '193.194.76.244', '193.194.76.253', '193.194.76.252', '193.194.76.231', '193.194.76.222', '193.194.76.226', '193.194.76.249', '193.194.76.252', '193.194.76.240', '193.194.76.233', '193.194.76.232', '193.194.76.247', '193.194.76.229', '193.194.76.238', '193.194.76.237', '193.194.76.233', '193.194.76.237', '193.194.76.228', '193.194.76.243', '193.194.76.230', '193.194.76.246', '193.194.76.254', '193.194.76.243', '193.194.76.253', '193.194.76.252', '193.194.76.254', '193.194.76.225', '193.194.76.251', '193.194.76.233', '193.194.76.246', '193.194.76.252', '193.194.76.229', '193.194.76.233', '193.194.76.244', '193.194.76.250', '193.194.76.236', '193.194.76.247', '193.194.76.230', '193.194.76.249', '193.194.76.228', '193.194.76.252', '193.194.76.234', '193.194.76.241', '193.194.76.242', '193.194.76.224', '193.194.76.239', '193.194.76.232', '193.194.76.242', '193.194.76.237', '193.194.76.222', '193.194.76.235', '193.194.76.240', '193.194.76.238', '193.194.76.254', '193.194.76.248', '193.194.76.229', '193.194.76.245', '193.194.76.244', '193.194.76.231', '193.194.76.243', '193.194.76.230', '193.194.76.239', '193.194.76.247', '193.194.76.228', '193.194.76.246', '193.194.76.233', '193.194.76.224', '193.194.76.236', '193.194.76.248', '193.194.76.244', '193.194.76.237', '193.194.76.229', '193.194.76.247', '193.194.76.223', '193.194.76.243', '193.194.76.252', '193.194.76.223', '193.194.76.253', '193.194.76.235', '193.194.76.227', '193.194.76.225', '193.194.76.230', '193.194.76.242', '193.194.76.254', '193.194.76.222', '193.194.76.228', '193.194.76.236', '193.194.76.232', '193.194.76.253', '193.194.76.240', '193.194.76.234', '193.194.76.230', '193.194.76.248', '193.194.76.249', '193.194.76.247', '193.194.76.245', '193.194.76.249', '193.194.76.252', '193.194.76.244', '193.194.76.231', '193.194.76.227', '193.194.76.246', '193.194.76.244', '193.194.76.236', '193.194.76.243', '193.194.76.228', '193.194.76.251', '193.194.76.238', '193.194.76.247', '193.194.76.230', '193.194.76.225', '193.194.76.240', '193.194.76.223', '193.194.76.222', '193.194.76.242', '193.194.76.239', '193.194.76.241', '193.194.76.233', '193.194.76.250', '193.194.76.228', '193.194.76.229', '193.194.76.226', '193.194.76.242', '193.194.76.232', '193.194.76.224', '193.194.76.239', '193.194.76.243', '193.194.76.231', '193.194.76.242', '193.194.76.246', '193.194.76.226', '193.194.76.230', '193.194.76.223', '193.194.76.253', '193.194.76.249', '193.194.76.243', '193.194.76.252', '193.194.76.231', '193.194.76.244', '193.194.76.248', '193.194.76.236', '193.194.76.239', '193.194.76.233', '193.194.76.228', '193.194.76.241', '193.194.76.237', '193.194.76.251', '193.194.76.250', '193.194.76.222', '193.194.76.234', '193.194.76.235', '193.194.76.225', '193.194.76.252', '193.194.76.254', '193.194.76.238', '193.194.76.222', '193.194.76.241', '193.194.76.227', '193.194.76.230', '193.194.76.226', '193.194.76.228', '193.194.76.245', '193.194.76.235', '193.194.76.253', '193.194.76.244', '193.194.76.222', '193.194.76.228', '193.194.76.231', '193.194.76.249', '193.194.76.229', '193.194.76.234', '193.194.76.243', '193.194.76.252', '193.194.76.254', '193.194.76.241', '193.194.76.226', '193.194.76.251', '193.194.76.224', '193.194.76.223', '193.194.76.230', '193.194.76.245', '193.194.76.242', '193.194.76.225', '193.194.76.246', '193.194.76.253', '193.194.76.250', '193.194.76.227', '193.194.76.242', '193.194.76.236']","[7789, 7789, 7789, 7789, 7789, 7789, 7789, 3408, 3408, 3333, 63389, 63389, 3333, 63389, 3408, 3408, 63389, 63389, 13389, 3408, 13389, 63389, 63389, 13389, 63389, 63389, 13389, 63389, 13389, 63389, 63389, 3398, 3396, 5489, 5489, 5489, 53389, 3396, 3396, 3396, 33899, 53389, 5000, 3396, 3396, 3396, 3396, 53389, 3396, 53389, 3396, 3396, 3396, 33899, 53389, 3396, 3396, 3396, 3396, 33899, 3396, 3396, 3396, 3396, 2289, 2289, 2289, 2289, 2289, 2289, 2289, 2289, 2289, 5000, 5000, 2389, 2389, 3399, 5000, 5000, 5000, 5000, 5000, 2389, 2389, 2389, 5000, 2389, 2389, 5000, 2389, 2389, 5000, 5000, 5000, 2389, 2389, 3400, 5000, 2389, 2389, 5000, 2389, 3400, 2389, 3400, 2389, 3400, 3400, 2389, 3400, 3400, 2389, 3400, 3400, 3400, 2389, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 9833, 2389, 3400, 8889, 8889, 3400, 33890, 9833, 9833, 9833, 9833, 33898, 33898, 33898, 33898, 33898, 33898, 3395, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33898, 33894, 33894, 33894, 33894, 7789, 7789, 7789, 7789, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 3374, 9833, 3374, 33894, 33894, 3386, 3386, 3386]",44
195.12.190.214,1.0,-0.0,"['193.194.76.235', '193.194.76.228']","[445, 445]",8
195.142.115.111,2.321928094887362,1.5219280948873621,"['193.194.76.250', '193.194.76.234', '193.194.76.252', '193.194.76.244', '193.194.76.239']","[6380, 6380, 8080, 8080, 6379]",42
