,date,ipsrc,ipdst,protocol,portdst
Apr-29, 2019 18:57:34.907640000,185.176.27.2,193.194.76.224,6,3333
Apr-29, 2019 18:57:35.962533000,170.84.147.2,193.194.76.243,6,8080
Apr-29, 2019 18:57:36.966388000,89.248.174.3,193.194.76.233,6,1311
Apr-29, 2019 18:57:39.031330000,185.176.26.105,193.194.76.240,6,26102
Apr-29, 2019 18:57:40.064145000,46.232.112.17,193.194.76.254,6,1453
Apr-29, 2019 18:57:40.831704000,80.250.166.98,193.194.76.248,6,445
Apr-29, 2019 18:57:43.280638000,89.248.174.3,193.194.76.234,6,1311
Apr-29, 2019 18:57:43.795048000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 18:57:44.927322000,196.52.43.127,193.194.76.252,6,21
Apr-29, 2019 18:57:45.893338000,217.29.214.244,193.194.76.250,6,80
Apr-29, 2019 18:57:47.551305000,193.194.103.77,193.194.76.222,6,23
Apr-29, 2019 18:57:48.967598000,89.248.174.3,193.194.76.240,6,1311
Apr-29, 2019 18:57:50.869334000,89.248.174.3,193.194.76.248,6,1311
Apr-29, 2019 18:57:51.383299000,190.207.191.95,193.194.76.244,6,23
Apr-29, 2019 18:57:55.978000000,46.232.112.17,193.194.76.246,6,1453
Apr-29, 2019 18:57:57.942420000,101.108.129.121,193.194.76.236,6,23
Apr-29, 2019 18:57:57.944463000,101.108.129.121,193.194.76.236,6,23
Apr-29, 2019 18:57:57.958212000,101.108.129.121,193.194.76.236,6,23
Apr-29, 2019 18:57:59.610582000,89.248.174.3,193.194.76.249,6,1311
Apr-29, 2019 18:58:00.413651000,188.246.224.24,193.194.76.250,6,3390
Apr-29, 2019 18:58:02.796350000,46.232.112.17,193.194.76.231,6,1453
Apr-29, 2019 18:58:03.577352000,89.248.174.3,193.194.76.222,6,1311
Apr-29, 2019 18:58:03.773186000,46.232.112.17,193.194.76.239,6,1453
Apr-29, 2019 18:58:06.386242000,89.248.174.3,193.194.76.241,6,1311
Apr-29, 2019 18:58:08.557480000,71.6.143.92,193.194.76.252,6,80
Apr-29, 2019 18:58:09.621044000,46.232.112.17,193.194.76.233,6,1453
Apr-29, 2019 18:58:10.598906000,46.232.112.17,193.194.76.250,6,1453
Apr-29, 2019 18:58:10.666941000,197.226.7.159,193.194.76.237,6,5555
Apr-29, 2019 18:58:10.925535000,185.173.35.17,193.194.76.227,6,3306
Apr-29, 2019 18:58:11.643903000,89.248.174.3,193.194.76.227,6,1311
Apr-29, 2019 18:58:12.112662000,185.176.27.162,193.194.76.246,6,10365
Apr-29, 2019 18:58:15.297119000,115.238.157.105,193.194.76.224,6,445
Apr-29, 2019 18:58:15.300329000,115.238.157.105,193.194.76.245,6,445
Apr-29, 2019 18:58:17.741836000,46.232.112.17,193.194.76.238,6,1453
Apr-29, 2019 18:58:19.285524000,37.148.210.72,193.194.76.250,6,23
Apr-29, 2019 18:58:20.016653000,46.232.112.17,193.194.76.223,6,1453
Apr-29, 2019 18:58:20.595367000,103.29.69.96,193.194.76.250,6,554
Apr-29, 2019 18:58:23.080166000,185.176.26.61,193.194.76.238,6,33689
Apr-29, 2019 18:58:24.558474000,185.176.26.61,193.194.76.248,6,33689
Apr-29, 2019 18:58:24.715987000,123.8.205.182,193.194.76.250,6,23
Apr-29, 2019 18:58:25.865510000,46.232.112.17,193.194.76.248,6,1453
Apr-29, 2019 18:58:26.346704000,81.225.147.219,193.194.76.239,6,5555
Apr-29, 2019 18:58:26.808531000,89.248.174.3,193.194.76.242,6,1311
Apr-29, 2019 18:58:32.897555000,185.176.26.61,193.194.76.243,6,33689
Apr-29, 2019 18:58:33.017043000,46.232.112.17,193.194.76.243,6,1453
Apr-29, 2019 18:58:36.737820000,134.209.145.42,193.194.76.234,6,23
