ipsource,entropy ipdest,entropy portdst,ipdest,portdest
125.66.131.211,-0.0,-0.0,['193.194.76.228'],[23]
125.86.119.130,-0.0,-0.0,['193.194.76.231'],[23]
125.88.149.134,-0.0,-0.0,['193.194.76.249'],[6379]
126.24.164.95,-0.0,-0.0,['193.194.76.233'],[23]
126.68.235.12,-0.0,-0.0,['193.194.76.229'],[80]
128.14.209.157,1.0,-0.0,"['193.194.76.240', '193.194.76.232']","[8443, 8443]"
128.14.209.158,-0.0,-0.0,['193.194.76.236'],[443]
128.14.209.181,-0.0,-0.0,['193.194.76.241'],[80]
128.14.209.182,1.0,1.0,"['193.194.76.239', '193.194.76.225']","[80, 8443]"
128.14.209.227,1.584962500721156,0.9182958340544896,"['193.194.76.236', '193.194.76.225', '193.194.76.237']","[80, 80, 9002]"
128.14.209.228,-0.0,-0.0,['193.194.76.224'],[9001]
128.14.209.229,-0.0,-0.0,['193.194.76.247'],[80]
128.14.209.235,2.0,1.0,"['193.194.76.234', '193.194.76.226', '193.194.76.252', '193.194.76.230']","[80, 8443, 8443, 80]"
128.14.209.238,1.0,-0.0,"['193.194.76.250', '193.194.76.246']","[80, 80]"
128.14.209.242,1.0,1.0,"['193.194.76.244', '193.194.76.237']","[8443, 9001]"
128.14.209.243,1.0,1.0,"['193.194.76.247', '193.194.76.232']","[9001, 80]"
128.14.209.244,1.0,1.0,"['193.194.76.243', '193.194.76.236']","[80, 9002]"
128.14.209.245,-0.0,-0.0,['193.194.76.234'],[9002]
128.14.209.246,-0.0,-0.0,['193.194.76.238'],[8443]
128.14.209.251,-0.0,-0.0,['193.194.76.243'],[9002]
128.14.209.252,-0.0,-0.0,['193.194.76.233'],[80]
128.14.209.254,-0.0,-0.0,['193.194.76.248'],[9002]
128.199.33.176,4.392317422778761,-0.0,"['193.194.76.227', '193.194.76.239', '193.194.76.230', '193.194.76.235', '193.194.76.243', '193.194.76.226', '193.194.76.250', '193.194.76.223', '193.194.76.238', '193.194.76.224', '193.194.76.242', '193.194.76.246', '193.194.76.232', '193.194.76.240', '193.194.76.252', '193.194.76.245', '193.194.76.254', '193.194.76.229', '193.194.76.247', '193.194.76.225', '193.194.76.231']","[80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80]"
129.144.51.50,-0.0,-0.0,['193.194.76.244'],[445]
129.204.112.220,-0.0,-0.0,['193.194.76.225'],[80]
129.204.125.194,-0.0,-0.0,"['193.194.76.254', '193.194.76.254']","[23, 23]"
129.204.44.137,-0.0,-0.0,['193.194.76.251'],[6380]
129.45.54.224,-0.0,-0.0,['193.194.76.242'],[445]
13.79.186.55,-0.0,-0.0,['193.194.76.238'],[6379]
131.0.95.234,-0.0,-0.0,['193.194.76.234'],[80]
131.161.121.82,-0.0,-0.0,['193.194.76.222'],[445]
131.161.147.249,-0.0,-0.0,['193.194.76.224'],[23]
131.196.169.28,-0.0,-0.0,['193.194.76.247'],[445]
131.196.202.48,-0.0,-0.0,['193.194.76.240'],[80]
131.196.8.138,-0.0,-0.0,['193.194.76.222'],[23]
131.221.192.59,-0.0,-0.0,['193.194.76.227'],[8080]
132.232.30.140,-0.0,-0.0,['193.194.76.223'],[80]
132.232.32.142,-0.0,-0.0,['193.194.76.227'],[37215]
134.175.45.78,-0.0,-0.0,['193.194.76.226'],[23]
134.209.118.167,-0.0,-0.0,['193.194.76.252'],[23]
134.209.123.187,1.0,-0.0,"['193.194.76.241', '193.194.76.229']","[23, 23]"
134.209.145.115,-0.0,-0.0,['193.194.76.254'],[23]
134.209.145.36,-0.0,-0.0,['193.194.76.234'],[23]
134.209.145.38,-0.0,-0.0,['193.194.76.242'],[23]
134.209.145.42,0.07761951112637416,-0.0,"['193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.244', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234', '193.194.76.234']","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
134.209.145.43,-0.0,-0.0,['193.194.76.223'],[23]
134.209.145.47,-0.0,-0.0,['193.194.76.246'],[23]
134.209.150.236,-0.0,-0.0,['193.194.76.238'],[23]
134.209.153.154,-0.0,-0.0,"['193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248', '193.194.76.248']","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
134.209.153.60,1.0,-0.0,"['193.194.76.252', '193.194.76.251']","[23, 23]"
134.209.158.134,-0.0,-0.0,['193.194.76.222'],[23]
134.209.158.24,-0.0,-0.0,['193.194.76.247'],[23]
134.209.164.222,-0.0,-0.0,['193.194.76.231'],[23]
134.209.173.181,-0.0,-0.0,['193.194.76.248'],[23]
134.209.202.3,-0.0,-0.0,['193.194.76.244'],[37215]
134.249.77.230,-0.0,-0.0,['193.194.76.232'],[5555]
135.23.48.232,-0.0,-0.0,['193.194.76.224'],[22]
136.169.224.145,-0.0,-0.0,['193.194.76.254'],[445]
137.74.83.92,5.044394119358454,-0.0,"['193.194.76.243', '193.194.76.232', '193.194.76.227', '193.194.76.248', '193.194.76.226', '193.194.76.252', '193.194.76.241', '193.194.76.244', '193.194.76.228', '193.194.76.242', '193.194.76.251', '193.194.76.229', '193.194.76.240', '193.194.76.233', '193.194.76.223', '193.194.76.231', '193.194.76.224', '193.194.76.239', '193.194.76.238', '193.194.76.249', '193.194.76.235', '193.194.76.250', '193.194.76.247', '193.194.76.230', '193.194.76.236', '193.194.76.225', '193.194.76.234', '193.194.76.245', '193.194.76.222', '193.194.76.237', '193.194.76.246', '193.194.76.253', '193.194.76.254']","[8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291, 8291]"
138.117.189.146,-0.0,-0.0,['193.194.76.233'],[23]
138.118.100.26,-0.0,-0.0,['193.194.76.249'],[80]
138.185.8.198,-0.0,-0.0,['193.194.76.232'],[23]
138.19.212.45,-0.0,-0.0,['193.194.76.230'],[5555]
138.197.145.227,1.584962500721156,-0.0,"['193.194.76.235', '193.194.76.241', '193.194.76.223']","[22, 22, 22]"
138.197.146.238,3.169925001442312,-0.0,"['193.194.76.235', '193.194.76.251', '193.194.76.252', '193.194.76.225', '193.194.76.237', '193.194.76.246', '193.194.76.228', '193.194.76.243', '193.194.76.236']","[22, 22, 22, 22, 22, 22, 22, 22, 22]"
138.197.158.7,1.0,-0.0,"['193.194.76.245', '193.194.76.226']","[22, 22]"
138.197.172.191,2.807354922057604,-0.0,"['193.194.76.251', '193.194.76.222', '193.194.76.240', '193.194.76.225', '193.194.76.230', '193.194.76.254', '193.194.76.235']","[22, 22, 22, 22, 22, 22, 22]"
138.204.112.141,-0.0,-0.0,['193.194.76.222'],[23]
138.204.135.100,-0.0,-0.0,['193.194.76.250'],[8080]
138.246.253.5,2.584962500721156,-0.0,"['193.194.76.231', '193.194.76.227', '193.194.76.226', '193.194.76.252', '193.194.76.239', '193.194.76.229']","[443, 443, 443, 443, 443, 443]"
138.255.15.41,-0.0,-0.0,['193.194.76.254'],[23]
138.59.174.94,-0.0,-0.0,['193.194.76.242'],[23]
138.68.77.42,-0.0,-0.0,['193.194.76.237'],[23]
138.68.89.26,3.94770277922009,2.5046934208291405,"['193.194.76.241', '193.194.76.251', '193.194.76.232', '193.194.76.225', '193.194.76.237', '193.194.76.245', '193.194.76.243', '193.194.76.231', '193.194.76.250', '193.194.76.222', '193.194.76.248', '193.194.76.239', '193.194.76.229', '193.194.76.230', '193.194.76.253', '193.194.76.230', '193.194.76.229', '193.194.76.254']","[8999, 8999, 8999, 8999, 8998, 8998, 10001, 10001, 10001, 8999, 7676, 2121, 10001, 10001, 8998, 6767, 6767, 4321]"
138.68.91.246,3.4594316186372978,-0.0,"['193.194.76.222', '193.194.76.239', '193.194.76.251', '193.194.76.240', '193.194.76.238', '193.194.76.244', '193.194.76.253', '193.194.76.235', '193.194.76.242', '193.194.76.227', '193.194.76.252']","[3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389]"
138.94.138.213,-0.0,-0.0,['193.194.76.228'],[80]
139.159.218.228,-0.0,-0.0,['193.194.76.240'],[2375]
139.162.106.178,2.0,-0.0,"['193.194.76.237', '193.194.76.236', '193.194.76.222', '193.194.76.248']","[23, 23, 23, 23]"
139.162.108.53,1.0,-0.0,"['193.194.76.222', '193.194.76.249']","[80, 80]"
139.162.108.62,1.584962500721156,-0.0,"['193.194.76.231', '193.194.76.254', '193.194.76.248']","[8089, 8089, 8089]"
139.162.109.43,1.584962500721156,-0.0,"['193.194.76.231', '193.194.76.249', '193.194.76.254']","[111, 111, 111]"
139.162.110.42,1.584962500721156,-0.0,"['193.194.76.239', '193.194.76.225', '193.194.76.240']","[3306, 3306, 3306]"
139.162.114.154,-0.0,-0.0,['193.194.76.224'],[80]
139.162.115.221,1.584962500721156,-0.0,"['193.194.76.241', '193.194.76.225', '193.194.76.253']","[9000, 9000, 9000]"
139.162.118.185,1.584962500721156,-0.0,"['193.194.76.232', '193.194.76.223', '193.194.76.231']","[22, 22, 22]"
139.162.118.251,2.0,-0.0,"['193.194.76.247', '193.194.76.246', '193.194.76.252', '193.194.76.237']","[6379, 6379, 6379, 6379]"
139.162.120.104,1.584962500721156,-0.0,"['193.194.76.250', '193.194.76.226', '193.194.76.252']","[993, 993, 993]"
139.162.120.76,2.0,-0.0,"['193.194.76.246', '193.194.76.249', '193.194.76.222', '193.194.76.231']","[81, 81, 81, 81]"
139.162.120.98,2.321928094887362,-0.0,"['193.194.76.239', '193.194.76.252', '193.194.76.244', '193.194.76.250', '193.194.76.226']","[22, 22, 22, 22, 22]"
139.162.121.165,1.0,-0.0,"['193.194.76.248', '193.194.76.237']","[8080, 8080]"
139.162.121.251,1.584962500721156,-0.0,"['193.194.76.239', '193.194.76.245', '193.194.76.230']","[3128, 3128, 3128]"
139.162.123.29,1.0,-0.0,"['193.194.76.254', '193.194.76.248']","[8000, 8000]"
139.162.127.127,1.584962500721156,-0.0,"['193.194.76.235', '193.194.76.243', '193.194.76.251']","[808, 808, 808]"
139.162.254.184,2.0,-0.0,"['193.194.76.243', '193.194.76.235', '193.194.76.239', '193.194.76.242']","[27017, 27017, 27017, 27017]"
139.162.65.76,2.0,-0.0,"['193.194.76.240', '193.194.76.222', '193.194.76.252', '193.194.76.241']","[102, 102, 102, 102]"
139.162.69.98,1.0,-0.0,"['193.194.76.231', '193.194.76.243']","[5060, 5060]"
139.162.71.210,-0.0,-0.0,['193.194.76.222'],[8090]
139.162.72.191,2.584962500721156,-0.0,"['193.194.76.240', '193.194.76.247', '193.194.76.231', '193.194.76.224', '193.194.76.252', '193.194.76.232']","[3127, 3127, 3127, 3127, 3127, 3127]"
139.162.75.99,-0.0,-0.0,['193.194.76.226'],[8081]
139.162.77.6,2.0,-0.0,"['193.194.76.233', '193.194.76.224', '193.194.76.244', '193.194.76.241']","[3389, 3389, 3389, 3389]"
139.162.79.111,2.321928094887362,-0.0,"['193.194.76.253', '193.194.76.244', '193.194.76.229', '193.194.76.247', '193.194.76.242']","[8123, 8123, 8123, 8123, 8123]"
139.162.84.112,2.584962500721156,-0.0,"['193.194.76.243', '193.194.76.222', '193.194.76.240', '193.194.76.233', '193.194.76.247', '193.194.76.250']","[8000, 8000, 8000, 8000, 8000, 8000]"
139.162.86.84,1.0,-0.0,"['193.194.76.253', '193.194.76.231']","[8001, 8001]"
139.162.90.220,1.0,-0.0,"['193.194.76.238', '193.194.76.237']","[1723, 1723]"
139.162.98.244,1.584962500721156,-0.0,"['193.194.76.245', '193.194.76.228', '193.194.76.251']","[8118, 8118, 8118]"
139.162.99.58,-0.0,-0.0,['193.194.76.248'],[808]
139.170.150.127,1.584962500721156,-0.0,"['193.194.76.252', '193.194.76.229', '193.194.76.247']","[22, 22, 22]"
139.170.164.24,-0.0,-0.0,['193.194.76.243'],[2323]
139.194.11.24,-0.0,-0.0,['193.194.76.230'],[80]
139.196.111.34,-0.0,-0.0,['193.194.76.247'],[80]
139.228.229.163,-0.0,-0.0,['193.194.76.249'],[9000]
139.255.236.8,-0.0,-0.0,['193.194.76.232'],[23]
139.59.0.4,-0.0,-0.0,['193.194.76.253'],[23]
139.59.21.53,-0.0,-0.0,['193.194.76.243'],[23]
14.102.188.3,-0.0,-0.0,['193.194.76.245'],[8080]
14.102.61.161,-0.0,-0.0,['193.194.76.239'],[23]
14.152.73.45,1.0,-0.0,"['193.194.76.228', '193.194.76.230']","[23, 23]"
14.167.98.96,-0.0,-0.0,['193.194.76.234'],[23]
14.177.86.141,-0.0,-0.0,['193.194.76.224'],[5555]
14.18.248.23,-0.0,-0.0,['193.194.76.251'],[445]
14.207.216.246,4.321928094887363,-0.0,"['193.194.76.224', '193.194.76.226', '193.194.76.229', '193.194.76.225', '193.194.76.222', '193.194.76.233', '193.194.76.232', '193.194.76.234', '193.194.76.223', '193.194.76.230', '193.194.76.235', '193.194.76.237', '193.194.76.238', '193.194.76.239', '193.194.76.244', '193.194.76.252', '193.194.76.249', '193.194.76.250', '193.194.76.251', '193.194.76.243']","[445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445]"
14.225.3.37,2.7052290027422967,-0.0,"['193.194.76.232', '193.194.76.232', '193.194.76.249', '193.194.76.229', '193.194.76.249', '193.194.76.236', '193.194.76.236', '193.194.76.249', '193.194.76.249', '193.194.76.236', '193.194.76.248', '193.194.76.237', '193.194.76.249', '193.194.76.248', '193.194.76.232', '193.194.76.235', '193.194.76.236', '193.194.76.223']","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
14.234.193.163,-0.0,-0.0,['193.194.76.235'],[81]
14.40.33.86,-0.0,-0.0,['193.194.76.222'],[23]
140.109.208.89,2.0,-0.0,"['193.194.76.249', '193.194.76.224', '193.194.76.253', '193.194.76.234']","[3389, 3389, 3389, 3389]"
140.115.236.72,2.0,-0.0,"['193.194.76.229', '193.194.76.223', '193.194.76.252', '193.194.76.231']","[445, 445, 445, 445]"
141.237.109.189,-0.0,-0.0,['193.194.76.237'],[23]
141.255.21.122,-0.0,-0.0,['193.194.76.223'],[23]
141.255.89.46,-0.0,-0.0,['193.194.76.251'],[23]
141.8.126.168,-0.0,-0.0,['193.194.76.251'],[23]
142.93.149.201,1.0,-0.0,"['193.194.76.231', '193.194.76.243']","[22, 22]"
142.93.228.105,1.0,-0.0,"['193.194.76.249', '193.194.76.252']","[22, 22]"
142.93.232.54,2.321928094887362,-0.0,"['193.194.76.222', '193.194.76.252', '193.194.76.231', '193.194.76.227', '193.194.76.250']","[27017, 27017, 27017, 27017, 27017]"
142.93.9.47,2.0,-0.0,"['193.194.76.233', '193.194.76.222', '193.194.76.235', '193.194.76.224']","[80, 80, 80, 80]"
143.137.162.35,-0.0,-0.0,['193.194.76.238'],[23]
143.255.225.112,-0.0,-0.0,['193.194.76.250'],[23]
144.132.129.23,-0.0,-0.0,"['193.194.76.238', '193.194.76.238']","[23, 23]"
144.139.16.146,-0.0,-0.0,['193.194.76.249'],[23]
145.239.41.215,2.807354922057604,-0.0,"['193.194.76.240', '193.194.76.250', '193.194.76.245', '193.194.76.254', '193.194.76.237', '193.194.76.230', '193.194.76.253']","[443, 443, 443, 443, 443, 443, 443]"
146.196.65.179,-0.0,-0.0,['193.194.76.252'],[445]
149.12.217.60,-0.0,-0.0,"['193.194.76.247', '193.194.76.247', '193.194.76.247', '193.194.76.247', '193.194.76.247', '193.194.76.247', '193.194.76.247', '193.194.76.247', '193.194.76.247', '193.194.76.247']","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
149.12.219.22,-0.0,-0.0,"['193.194.76.239', '193.194.76.239', '193.194.76.239', '193.194.76.239', '193.194.76.239', '193.194.76.239', '193.194.76.239', '193.194.76.239']","[23, 23, 23, 23, 23, 23, 23, 23]"
149.129.50.37,1.0,-0.0,"['193.194.76.247', '193.194.76.239']","[8080, 8080]"
149.200.132.245,-0.0,-0.0,['193.194.76.229'],[23]
149.200.145.138,-0.0,-0.0,['193.194.76.226'],[23]
149.200.156.175,1.0,-0.0,"['193.194.76.235', '193.194.76.240']","[23, 23]"
149.200.195.109,-0.0,-0.0,['193.194.76.228'],[23]
149.200.196.176,-0.0,-0.0,['193.194.76.222'],[2323]
149.200.213.109,-0.0,-0.0,['193.194.76.247'],[23]
149.248.6.158,3.169925001442312,-0.0,"['193.194.76.249', '193.194.76.248', '193.194.76.245', '193.194.76.254', '193.194.76.234', '193.194.76.243', '193.194.76.252', '193.194.76.240', '193.194.76.232']","[8545, 8545, 8545, 8545, 8545, 8545, 8545, 8545, 8545]"
149.34.2.154,-0.0,-0.0,['193.194.76.251'],[5555]
149.34.4.148,-0.0,-0.0,['193.194.76.231'],[5555]
149.34.8.131,-0.0,-0.0,['193.194.76.226'],[5555]
149.34.8.99,-0.0,-0.0,['193.194.76.238'],[5555]
149.91.113.63,-0.0,-0.0,['193.194.76.247'],[23]
150.129.151.51,1.0,-0.0,"['193.194.76.223', '193.194.76.233']","[23, 23]"
150.255.128.106,-0.0,-0.0,['193.194.76.234'],[23]
150.95.154.174,1.0,-0.0,"['193.194.76.226', '193.194.76.238']","[445, 445]"
151.232.20.10,-0.0,-0.0,['193.194.76.244'],[445]
151.235.223.120,-0.0,-0.0,['193.194.76.244'],[80]
151.27.69.42,-0.0,-0.0,['193.194.76.224'],[9000]
152.231.72.43,-0.0,-0.0,['193.194.76.236'],[8080]
152.249.10.240,-0.0,-0.0,['193.194.76.242'],[23]
152.249.40.100,-0.0,-0.0,['193.194.76.222'],[80]
152.250.209.120,-0.0,-0.0,['193.194.76.236'],[80]
152.250.95.232,-0.0,-0.0,['193.194.76.228'],[8080]
153.186.198.50,-0.0,-0.0,['193.194.76.225'],[22]
153.222.255.52,-0.0,-0.0,['193.194.76.241'],[2222]
154.117.154.34,2.321928094887362,-0.0,"['193.194.76.247', '193.194.76.248', '193.194.76.245', '193.194.76.234', '193.194.76.225']","[23, 23, 23, 23, 23]"
154.117.154.62,1.584962500721156,-0.0,"['193.194.76.224', '193.194.76.227', '193.194.76.254']","[23, 23, 23]"
154.236.162.37,-0.0,-0.0,['193.194.76.244'],[445]
154.93.206.29,-0.0,-0.0,['193.194.76.245'],[80]
155.4.202.172,-0.0,-0.0,['193.194.76.238'],[5555]
155.94.202.35,2.0,-0.0,"['193.194.76.251', '193.194.76.253', '193.194.76.241', '193.194.76.242']","[445, 445, 445, 445]"
156.195.108.232,-0.0,-0.0,['193.194.76.249'],[23]
156.195.34.10,-0.0,-0.0,['193.194.76.225'],[23]
156.195.54.143,-0.0,-0.0,['193.194.76.245'],[23]
156.195.99.123,-0.0,-0.0,['193.194.76.245'],[23]
156.196.144.34,-0.0,-0.0,['193.194.76.244'],[23]
156.196.15.162,-0.0,-0.0,['193.194.76.249'],[23]
156.197.142.107,-0.0,-0.0,['193.194.76.241'],[23]
156.197.22.194,-0.0,-0.0,['193.194.76.239'],[23]
156.197.230.157,-0.0,-0.0,['193.194.76.246'],[2323]
156.197.3.19,-0.0,-0.0,['193.194.76.243'],[23]
156.197.41.217,-0.0,-0.0,['193.194.76.242'],[23]
156.198.165.187,-0.0,-0.0,['193.194.76.241'],[23]
156.198.251.159,-0.0,-0.0,['193.194.76.247'],[23]
156.198.36.133,-0.0,-0.0,['193.194.76.234'],[23]
156.198.57.116,-0.0,-0.0,['193.194.76.242'],[23]
156.200.206.69,-0.0,-0.0,['193.194.76.234'],[23]
156.202.186.157,-0.0,-0.0,['193.194.76.225'],[2323]
156.202.207.33,-0.0,-0.0,['193.194.76.241'],[23]
156.202.221.172,-0.0,-0.0,['193.194.76.253'],[23]
156.202.255.83,-0.0,-0.0,['193.194.76.240'],[23]
156.202.4.26,-0.0,-0.0,['193.194.76.231'],[23]
156.202.60.92,-0.0,-0.0,['193.194.76.253'],[23]
156.202.86.53,-0.0,-0.0,['193.194.76.233'],[23]
156.203.128.224,-0.0,-0.0,['193.194.76.222'],[23]
156.203.196.61,-0.0,-0.0,['193.194.76.232'],[23]
156.203.206.243,-0.0,-0.0,['193.194.76.225'],[23]
156.204.106.28,-0.0,-0.0,['193.194.76.247'],[23]
156.204.119.90,-0.0,-0.0,['193.194.76.229'],[23]
156.204.224.101,-0.0,-0.0,['193.194.76.254'],[23]
156.204.84.232,-0.0,-0.0,['193.194.76.234'],[23]
156.205.126.14,-0.0,-0.0,['193.194.76.225'],[23]
156.205.176.73,-0.0,-0.0,['193.194.76.223'],[23]
156.205.178.42,-0.0,-0.0,['193.194.76.230'],[23]
156.205.214.160,-0.0,-0.0,['193.194.76.228'],[23]
156.205.228.236,-0.0,-0.0,['193.194.76.241'],[23]
156.205.48.25,-0.0,-0.0,['193.194.76.224'],[23]
156.208.118.185,-0.0,-0.0,['193.194.76.249'],[23]
156.208.28.239,-0.0,-0.0,['193.194.76.249'],[23]
156.208.38.40,-0.0,-0.0,['193.194.76.228'],[23]
156.208.58.136,-0.0,-0.0,['193.194.76.241'],[23]
156.209.107.151,1.0,-0.0,"['193.194.76.231', '193.194.76.245']","[23, 23]"
156.209.232.247,-0.0,-0.0,['193.194.76.234'],[2323]
156.210.187.143,-0.0,-0.0,['193.194.76.237'],[23]
156.210.218.47,1.0,1.0,"['193.194.76.238', '193.194.76.250']","[2323, 23]"
156.211.108.14,-0.0,-0.0,['193.194.76.229'],[23]
156.211.201.198,-0.0,-0.0,['193.194.76.248'],[23]
156.211.9.161,-0.0,-0.0,['193.194.76.224'],[2323]
156.212.245.66,-0.0,-0.0,['193.194.76.249'],[23]
156.213.14.202,-0.0,-0.0,"['193.194.76.242', '193.194.76.242', '193.194.76.242']","[445, 445, 445]"
156.213.64.122,-0.0,-0.0,['193.194.76.230'],[23]
156.213.65.22,-0.0,-0.0,['193.194.76.230'],[23]
156.213.99.119,-0.0,-0.0,['193.194.76.249'],[23]
156.216.14.95,-0.0,-0.0,['193.194.76.236'],[23]
156.217.195.158,-0.0,-0.0,['193.194.76.234'],[23]
156.217.37.3,-0.0,-0.0,['193.194.76.225'],[23]
156.217.81.96,-0.0,-0.0,['193.194.76.243'],[23]
156.217.96.202,-0.0,-0.0,['193.194.76.236'],[23]
156.218.121.152,-0.0,-0.0,['193.194.76.222'],[23]
156.218.149.68,-0.0,-0.0,['193.194.76.248'],[2323]
156.218.19.35,-0.0,-0.0,['193.194.76.234'],[23]
156.218.203.53,-0.0,-0.0,['193.194.76.249'],[23]
156.218.87.161,-0.0,-0.0,['193.194.76.251'],[23]
156.219.100.10,-0.0,-0.0,['193.194.76.245'],[23]
156.219.108.159,-0.0,-0.0,['193.194.76.242'],[2323]
156.219.191.41,-0.0,-0.0,['193.194.76.246'],[23]
156.219.23.192,-0.0,-0.0,['193.194.76.250'],[23]
156.220.168.92,-0.0,-0.0,['193.194.76.238'],[23]
156.220.203.206,-0.0,-0.0,['193.194.76.254'],[23]
156.220.250.214,-0.0,-0.0,['193.194.76.236'],[2323]
156.221.173.76,-0.0,-0.0,['193.194.76.253'],[23]
156.221.55.138,-0.0,-0.0,['193.194.76.249'],[2323]
156.221.57.180,-0.0,-0.0,['193.194.76.254'],[23]
156.221.66.33,-0.0,-0.0,['193.194.76.229'],[23]
156.221.8.28,-0.0,-0.0,['193.194.76.232'],[23]
156.222.173.60,-0.0,-0.0,['193.194.76.239'],[23]
156.223.92.128,-0.0,-0.0,['193.194.76.224'],[23]
156.223.94.59,-0.0,-0.0,['193.194.76.251'],[23]
157.119.226.95,-0.0,-0.0,['193.194.76.224'],[8080]
157.230.118.177,-0.0,-0.0,['193.194.76.229'],[23]
157.230.242.58,-0.0,-0.0,['193.194.76.241'],[8080]
158.140.174.220,-0.0,-0.0,['193.194.76.253'],[81]
159.146.62.226,-0.0,-0.0,['193.194.76.222'],[23]
159.192.141.111,-0.0,-0.0,['193.194.76.236'],[445]
